date,vt1,vt1.5,vt2,vt2.5,vt3,ma1,ma2,ma3,ct1,ct2,ct3,ny1,ny2,ny3,pa1,pa2,pa3,de1,de2,de3,md1,md2,md3,vt1.cum,vt1.5.cum,vt2.cum,vt2.5.cum,vt3.cum,ma1.cum,ma2.cum,ma3.cum,ct1.cum,ct2.cum,ct3.cum,ny1.cum,ny2.cum,ny3.cum,pa1.cum,pa2.cum,pa3.cum,de1.cum,de2.cum,de3.cum,md1.cum,md2.cum,md3.cum,,,,,,,,,
10/30/22,9.603304529,9.603304529,9.603304529,9.603304529,9.603304529,9.857924274,9.857924274,9.857924274,7.255622422,7.255622422,0,9.054007709,9.054007709,9.054007709,5.57768831,5.57768831,0,12,0,0,9.378705721,0,0,700.0406352,547.1406352,464.7406352,338.451502,264.2540965,572.8269915,336.0167666,25.30704246,372.2150647,215.7002139,0,333.535888,205.3012369,81.13008722,201.6645638,76.31445656,0,296.3059125,0,0,109.8829852,0,0,,,,,,,,,
10/31/22,13.1,13.1,13.1,13.1,13.1,11.16618583,11.16618583,11.16618583,10.16634856,10.16634856,10.16634856,9.843382526,9.843382526,9.843382526,7.570911739,7.570911739,0,17.1,17.1,0,15.823,15.823,0,713.1406352,560.2406352,477.8406352,351.551502,277.3540965,583.9931773,347.1829524,36.47322829,382.3814133,225.8665625,10.16634856,343.3792706,215.1446194,90.97346975,209.2354755,83.8853683,0,313.4059125,17.1,0,125.7059852,15.823,0,,,,,,,,,
11/1/22,11.85,11.85,11.85,11.85,11.85,18.4,18.4,18.4,17,17,17,13,13,13,16.05,16.05,0,23.3,23.3,0,22.897,22.897,0,724.9906352,572.0906352,489.6906352,363.401502,289.2040965,602.3931773,365.5829524,54.87322829,399.3814133,242.8665625,27.16634856,356.3792706,228.1446194,103.9734697,225.2854755,99.9353683,0,336.7059125,40.4,0,148.6029852,38.72,0,,,,,,,,,
11/2/22,9.607537751,9.607537751,9.607537751,9.607537751,9.607537751,16.35,16.35,16.35,16.5,16.5,16.5,17,17,17,12.18398904,12.18398904,0,18.6,18.6,0,18.217,18.217,0,734.598173,581.698173,499.298173,373.0090398,298.8116343,618.7431773,381.9329524,71.22322829,415.8814133,259.3665625,43.66634856,373.3792706,245.1446194,120.9734697,237.4694646,112.1193573,0,355.3059125,59,0,166.8199852,56.937,0,,,,,,,,,
11/3/22,10.73543096,10.73543096,10.73543096,10.73543096,10.73543096,12.0019693,12.0019693,12.0019693,14.5,14.5,14.5,13,13,13,13.00592126,13.00592126,0,16.85,16.85,0,16.8958,16.8958,0,745.3336039,592.4336039,510.0336039,383.7444708,309.5470652,630.7451466,393.9349217,83.22519759,430.3814133,273.8665625,58.16634856,386.3792706,258.1446194,133.9734697,250.4753858,125.1252786,0,372.1559125,75.85,0,183.7157852,73.8328,0,,,,,,,,,
11/4/22,18.9,18.9,18.9,18.9,18.9,16.5,16.5,16.5,15.5,15.5,15.5,14.5,14.5,14.5,16.1,16.1,0,21.95,21.95,0,20.017,20.017,0,764.2336039,611.3336039,528.9336039,402.6444708,328.4470652,647.2451466,410.4349217,99.72519759,445.8814133,289.3665625,73.66634856,400.8792706,272.6446194,148.4734697,266.5753858,141.2252786,0,394.1059125,97.8,0,203.7327852,93.8498,0,,,,,,,,,
11/5/22,25.65,25.65,25.65,25.65,25.65,27.15,27.15,27.15,19,19,19,20.5,20.5,20.5,25.5,25.5,0,28.35,28.35,0,28.909,28.909,0,789.8836039,636.9836039,554.5836039,428.2944708,354.0970652,674.3951466,437.5849217,126.8751976,464.8814133,308.3665625,92.66634856,421.3792706,293.1446194,168.9734697,292.0753858,166.7252786,0,422.4559125,126.15,0,232.6417852,122.7588,0,,,,,,,,,
11/6/22,25.05,25.05,25.05,25.05,25.05,27.9,27.9,27.9,26.5,26.5,26.5,26.5,26.5,26.5,30.45,30.45,0,30.8,30.8,0,31.483,31.483,0,814.9336039,662.0336039,579.6336039,453.3444708,379.1470652,702.2951466,465.4849217,154.7751976,491.3814133,334.8665625,119.1663486,447.8792706,319.6446194,195.4734697,322.5253858,197.1752786,0,453.2559125,156.95,0,264.1247852,154.2418,0,,,,,,,,,
11/7/22,13.4,13.4,13.4,13.4,13.4,21.35,21.35,21.35,27,27,27,23.5,23.5,23.5,16.6,16.6,0,26.25,26.25,0,26.416,26.416,0,828.3336039,675.4336039,593.0336039,466.7444708,392.5470652,723.6451466,486.8349217,176.1251976,518.3814133,361.8665625,146.1663486,471.3792706,343.1446194,218.9734697,339.1253858,213.7752786,0,479.5059125,183.2,0,290.5407852,180.6578,0,,,,,,,,,
11/8/22,1.542221128,1.542221128,1.542221128,1.542221128,1.542221128,5.89526644,5.89526644,5.89526644,16,16,16,8.164594956,8.164594956,8.164594956,5.071216231,5.071216231,0,8.569376702,8.569376702,0,12.7504,12.7504,0,829.8758251,676.9758251,594.5758251,468.2866919,394.0892864,729.5404131,492.7301882,182.020464,534.3814133,377.8665625,162.1663486,479.5438655,351.3092144,227.1380647,344.1966021,218.8464948,0,488.0752892,191.7693767,0,303.2911852,193.4082,0,,,,,,,,,
11/9/22,2.604697432,2.604697432,2.604697432,2.604697432,2.604697432,3.511335926,3.511335926,3.511335926,4.128129363,4.128129363,4.128129363,2.036005139,2.036005139,2.036005139,4.767300031,4.767300031,4.767300031,9.034333078,9.034333078,0,9.9892,9.9892,0,832.4805225,679.5805225,597.1805225,470.8913893,396.6939838,733.051749,496.2415241,185.5318,538.5095426,381.9946918,166.2944779,481.5798707,353.3452195,229.1740698,348.9639021,223.6137949,4.767300031,497.1096223,200.8037098,0,313.2803852,203.3974,0,,,,,,,,,
11/10/22,13,13,13,13,13,13.23708623,13.23708623,13.23708623,4.074958251,4.074958251,4.074958251,6.061361728,6.061361728,6.061361728,10.52572902,10.52572902,10.52572902,17.35,17.35,0,16.7113,16.7113,0,845.4805225,692.5805225,610.1805225,483.8913893,409.6939838,746.2888352,509.4786103,198.7688862,542.5845009,386.0696501,170.3694362,487.6412324,359.4065812,235.2354316,359.4896311,234.1395239,15.29302905,514.4596223,218.1537098,0,329.9916852,220.1087,0,,,,,,,,,
11/11/22,18.9,18.9,18.9,18.9,18.9,15.05,15.05,15.05,15,15,15,15,15,15,20.3,20.3,20.3,25.7,25.7,0,25.03,25.03,0,864.3805225,711.4805225,629.0805225,502.7913893,428.5939838,761.3388352,524.5286103,213.8188862,557.5845009,401.0696501,185.3694362,502.6412324,374.4065812,250.2354316,379.7896311,254.4395239,35.59302905,540.1596223,243.8537098,0,355.0216852,245.1387,0,,,,,,,,,
11/12/22,14.8,14.8,14.8,14.8,14.8,20,20,20,22.5,22.5,22.5,17,17,17,9.504613861,9.504613861,9.504613861,27.8,27.8,0,25.507,25.507,0,879.1805225,726.2805225,643.8805225,517.5913893,443.3939838,781.3388352,544.5286103,233.8188862,580.0845009,423.5696501,207.8694362,519.6412324,391.4065812,267.2354316,389.294245,263.9441377,45.09764291,567.9596223,271.6537098,0,380.5286852,270.6457,0,,,,,,,,,
11/13/22,1.955753211,1.955753211,1.955753211,1.955753211,1.955753211,5.041490392,5.041490392,5.041490392,16,16,16,5.620094744,5.620094744,5.620094744,0,0,0,11.28973965,11.28973965,0,10.7758,10.7758,0,881.1362757,728.2362757,645.8362757,519.5471425,445.349737,786.3803256,549.5701007,238.8603766,596.0845009,439.5696501,223.8694362,525.2613271,397.026676,272.8555263,389.294245,263.9441377,45.09764291,579.2493619,282.9434494,0,391.3044852,281.4215,0,,,,,,,,,
11/14/22,0,0,0,0,0,0.411634526,0.411634526,0.411634526,2.547770701,2.547770701,2.547770701,0,0,0,0,0,0,2.228645121,2.228645121,0,2.516200598,2.516200598,2.516200598,881.1362757,728.2362757,645.8362757,519.5471425,445.349737,786.7919601,549.9817353,239.2720111,598.6322716,442.1174208,226.4172069,525.2613271,397.026676,272.8555263,389.294245,263.9441377,45.09764291,581.478007,285.1720946,0,393.8206858,283.9377006,2.516200598,,,,,,,,,
11/15/22,0,0,0,0,0,0.005377325,0.005377325,0.005377325,0,0,0,0,0,0,0,0,0,4.494536255,4.494536255,0,1.804791451,1.804791451,1.804791451,881.1362757,728.2362757,645.8362757,519.5471425,445.349737,786.7973375,549.9871126,239.2773884,598.6322716,442.1174208,226.4172069,525.2613271,397.026676,272.8555263,389.294245,263.9441377,45.09764291,585.9725433,289.6666308,0,395.6254773,285.742492,4.320992049,,,,,,,,,
11/16/22,0,0,0,0,0,1.499089435,1.499089435,1.499089435,0.124897677,0.124897677,0.124897677,0,0,0,0,0,0,6.5,6.5,0,6.9076,6.9076,6.9076,881.1362757,728.2362757,645.8362757,519.5471425,445.349737,788.2964269,551.486202,240.7764779,598.7571693,442.2423185,226.5421045,525.2613271,397.026676,272.8555263,389.294245,263.9441377,45.09764291,592.4725433,296.1666308,0,402.5330773,292.650092,11.22859205,,,,,,,,,
11/17/22,0,0,0,0,0,1.001834268,1.001834268,1.001834268,0.975152165,0.975152165,0.975152165,0,0,0,0,0,0,1.173862046,1.173862046,1.173862046,2.157131774,2.157131774,2.157131774,881.1362757,728.2362757,645.8362757,519.5471425,445.349737,789.2982612,552.4880363,241.7783121,599.7323214,443.2174706,227.5172567,525.2613271,397.026676,272.8555263,389.294245,263.9441377,45.09764291,593.6464053,297.3404929,1.173862046,404.690209,294.8072238,13.38572382,,,,,,,,,
11/18/22,0,0,0,0,0,0.676277124,0.676277124,0.676277124,0.58304299,0.58304299,0.58304299,0,0,0,0,0,0,1.435419302,1.435419302,1.435419302,2.096170764,2.096170764,2.096170764,881.1362757,728.2362757,645.8362757,519.5471425,445.349737,789.9745383,553.1643134,242.4545893,600.3153644,443.8005136,228.1002997,525.2613271,397.026676,272.8555263,389.294245,263.9441377,45.09764291,595.0818246,298.7759122,2.609281348,406.7863798,296.9033946,15.48189459,,,,,,,,,
11/19/22,0,0,0,0,0,0.139005891,0.139005891,0.139005891,0,0,0,0,0,0,0,0,0,1.36121605,1.36121605,1.36121605,1.374230469,1.374230469,1.374230469,881.1362757,728.2362757,645.8362757,519.5471425,445.349737,790.1135442,553.3033193,242.5935951,600.3153644,443.8005136,228.1002997,525.2613271,397.026676,272.8555263,389.294245,263.9441377,45.09764291,596.4430407,300.1371282,3.970497398,408.1606103,298.2776251,16.85612506,,,,,,,,,
11/20/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997863468,0.997863468,0.997863468,881.1362757,728.2362757,645.8362757,519.5471425,445.349737,790.1135442,553.3033193,242.5935951,600.3153644,443.8005136,228.1002997,525.2613271,397.026676,272.8555263,389.294245,263.9441377,45.09764291,596.4430407,300.1371282,3.970497398,409.1584737,299.2754885,17.85398852,,,,,,,,,
11/21/22,0.101869587,0.101869587,0.101869587,0.101869587,0.101869587,0,0,0,0,0,0,0,0,0,0.116612728,0.116612728,0.116612728,1.508806075,1.508806075,1.508806075,1.068388397,1.068388397,1.068388397,881.2381453,728.3381453,645.9381453,519.6490121,445.4516066,790.1135442,553.3033193,242.5935951,600.3153644,443.8005136,228.1002997,525.2613271,397.026676,272.8555263,389.4108577,264.0607505,45.21425564,597.9518468,301.6459343,5.479303473,410.2268621,300.3438769,18.92237692,,,,,,,,,
