date,vt1,vt1.5,vt2,vt2.5,vt3,ma1,ma2,ma3,ny1,ny2,ny3,md1,md2,md3,pa1,pa2,pa3,de1,de2,de3,vt1.cum,vt1.5.cum,vt2.cum,vt2.5.cum,vt3.cum,ma1.cum,ma2.cum,ma3.cum,ny1.cum,ny2.cum,ny3.cum,md1.cum,md2.cum,md3.cum,pa1.cum,pa2.cum,pa3.cum,de1.cum,de2.cum,de3.cum
11/2/21,2.952748922,2.952748922,2.952748922,2.952748922,2.952748922,6.19,6.19,6.194229683,3.772503212,3.772503212,0,10.5,10.5,0,1.761565533,25.5,0,6.961820204,6.961820204,0,706.6934443,488.5934443,376.8776061,240.5776061,111.2776061,779.12,459.3746138,14.24455329,521.8763522,125.5643055,0,690.2277692,243.5,0,412.4717033,149.4252786,0,428.2118202,6.961820204,0
11/3/21,0.899019816,0.899019816,0.899019816,0.899019816,0.899019816,3.58,3.58,3.584189697,0.35383649,0.35383649,0,3.067701199,3.067701199,0,0.479198035,30.45,0,4.919040483,4.919040483,0,707.5924641,489.4924641,377.7766259,241.4766259,112.1766259,782.7,462.9588035,17.82874299,522.2301887,125.918142,0,693.2954704,246.5677012,0,412.9509013,179.8752786,0,433.1308607,11.88086069,0
11/4/21,0.628140645,0.628140645,0.628140645,0.628140645,0.628140645,2.79,2.79,2.788154997,0.115838242,0.115838242,0.115838242,3.813270363,3.813270363,0,1.452305951,16.6,0,4.958432026,4.958432026,0,708.2206048,490.1206048,378.4047665,242.1047665,112.8047665,785.49,465.7469585,20.61689799,522.3460269,126.0339802,0.115838242,697.1087408,250.3809716,0,414.4032072,196.4752786,0,438.0892927,16.83929271,0
11/5/21,2.866242038,2.866242038,2.866242038,2.866242038,2.866242038,3.94,3.94,3.93548084,0.280440964,0.280440964,0.280440964,4.334933385,4.334933385,0,2.161764103,5.071216231,0,4.798798108,4.798798108,0,711.0868468,492.9868468,381.2710086,244.9710086,115.6710086,789.43,469.6824393,24.55237883,522.6264679,126.3144212,0.396279206,701.4436742,254.7159049,0,416.5649714,201.5464948,0,442.8880908,21.63809082,0
11/6/21,3.184713376,3.184713376,3.184713376,3.184713376,3.184713376,4.20,4.20,4.203821656,0.758010395,0.758010395,0.758010395,4.759588685,4.759588685,0,2.501332396,4.767300031,0,6.636235166,6.636235166,0,714.2715602,496.1715602,384.4557219,248.1557219,118.8557219,793.63,473.886261,28.75620048,523.3844783,127.0724316,1.154289602,706.2032628,259.4754936,0,419.0663037,206.3137949,0,449.524326,28.27432599,0
11/7/21,4.561249713,4.561249713,4.561249713,4.561249713,4.561249713,5.78,5.78,5.783541439,2.874858511,2.874858511,2.874858511,6.564176828,6.564176828,0,5.722141595,10.52572902,0,8.3,8.3,0,718.8328099,500.7328099,389.0169717,252.7169717,123.4169717,799.41,479.6698024,34.53974192,526.2593368,129.9472901,4.029148113,712.7674397,266.0396705,0,424.7884453,216.8395239,0,457.824326,36.57432599,0
11/8/21,10.5,10.5,10.5,10.5,10.5,9.51,9.51,9.511421142,6.503025976,6.503025976,6.503025976,6.83987527,6.83987527,0,9.776420174,20.3,0,12.91686669,12.91686669,0,729.3328099,511.2328099,399.5169717,263.2169717,133.9169717,808.92,489.1812235,44.05116306,532.7623627,136.450316,10.53217409,719.6073149,272.8795457,0,434.5648655,237.1395239,0,470.7411927,49.49119267,0
11/9/21,13.5,13.5,13.5,13.5,13.5,12.12,12.12,12.12026179,8.918054016,8.918054016,8.918054016,13.39711495,13.39711495,0,12.84326031,9.504613861,0,15.52576576,15.52576576,0,742.8328099,524.7328099,413.0169717,276.7169717,147.4169717,821.04,501.3014853,56.17142485,541.6804168,145.3683701,19.4502281,733.0044299,286.2766607,0,447.4081258,246.6441377,0,486.2669584,65.01695843,0
11/10/21,11.5,11.5,11.5,11.5,11.5,10.07,10.07,10.06887627,7.782359692,7.782359692,7.782359692,19,19,19,10.14563698,0,0,16.6,16.6,0,754.3328099,536.2328099,424.5169717,288.2169717,158.9169717,831.11,511.3703616,66.24030112,549.4627764,153.1507297,27.2325878,752.0044299,305.2766607,19,457.5537628,246.6441377,0,502.8669584,81.61695843,0
11/11/21,6.45,6.45,6.45,6.45,6.45,6.06,6.06,6.061167776,3.415882573,3.415882573,3.415882573,17,17,17,7.644091884,0,0,15.1,15.1,0,760.7828099,542.6828099,430.9669717,294.6669717,165.3669717,837.17,517.4315294,72.3014689,552.878659,156.5666123,30.64847037,769.0044299,322.2766607,36,465.1978547,246.6441377,0,517.9669584,96.71695843,0
